01s,06s,12s,03s
145-avg,33-range,245-std,9-avg
150-avg,38-range,264-std,10-avg
151-avg,43-range,270-std,13-avg
154-avg,53-range,284-std,18-avg
160-avg,54-range,288-std,20-avg
164-avg,69-range,294-std,29-avg
196-avg,80-range,297-std,30-avg
200-avg,86-range,1-range,33-avg
201-avg,151-range,2-range,38-avg
212-avg,157-range,3-range,40-avg
213-avg,184-range,5-range,41-avg
217-avg,209-range,6-range,47-avg
224-avg,236-range,8-range,51-avg
228-avg,238-range,13-range,52-avg
236-avg,244-range,17-range,53-avg
245-avg,257-range,18-range,55-avg
248-avg,258-range,24-range,61-avg
255-avg,264-range,27-range,63-avg
268-avg,13-avg,32-range,64-avg
276-avg,22-avg,40-range,65-avg
279-avg,33-avg,42-range,67-avg
77-range,44-avg,49-range,74-avg
138-range,50-avg,51-range,76-avg
266-range,52-avg,53-range,78-avg
298-range,53-avg,59-range,80-avg
10-avg,55-avg,60-range,81-avg
44-avg,58-avg,62-range,82-avg
57-avg,59-avg,68-range,84-avg
82-avg,60-avg,79-range,86-avg
91-avg,62-avg,80-range,90-avg
113-avg,70-avg,82-range,92-avg
119-avg,71-avg,83-range,93-avg
120-avg,75-avg,88-range,97-avg
121-avg,77-avg,101-range,101-avg
135-avg,79-avg,105-range,103-avg
138-avg,86-avg,109-range,104-avg
148-avg,90-avg,118-range,106-avg
157-avg,91-avg,120-range,107-avg
171-avg,92-avg,121-range,111-avg
175-avg,95-avg,128-range,112-avg
180-avg,104-avg,130-range,114-avg
181-avg,105-avg,135-range,115-avg
182-avg,106-avg,138-range,116-avg
190-avg,108-avg,146-range,120-avg
198-avg,118-avg,147-range,121-avg
199-avg,129-avg,149-range,123-avg
203-avg,137-avg,159-range,124-avg
210-avg,146-avg,161-range,127-avg
226-avg,148-avg,171-range,129-avg
230-avg,152-avg,184-range,133-avg
241-avg,153-avg,208-range,135-avg
242-avg,160-avg,212-range,136-avg
244-avg,165-avg,223-range,141-avg
246-avg,168-avg,235-range,145-avg
247-avg,181-avg,255-range,146-avg
256-avg,183-avg,269-range,148-avg
265-avg,187-avg,271-range,152-avg
270-avg,188-avg,272-range,154-avg
278-avg,192-avg,274-range,155-avg
280-avg,196-avg,280-range,158-avg
288-avg,201-avg,283-range,159-avg
289-avg,203-avg,103-slope,160-avg
290-avg,208-avg,128-slope,161-avg
291-avg,211-avg,174-slope,164-avg
27-std,220-avg,240-slope,168-avg
15-range,227-avg,277-slope,169-avg
21-range,228-avg,5-avg,170-avg
68-range,229-avg,9-avg,171-avg
116-range,230-avg,10-avg,173-avg
7-slope,234-avg,13-avg,176-avg
74-avg,235-avg,16-avg,177-avg
191-avg,238-avg,17-avg,180-avg
223-avg,239-avg,18-avg,182-avg
225-avg,242-avg,19-avg,183-avg
292-avg,245-avg,21-avg,185-avg
293-avg,246-avg,22-avg,186-avg
295-avg,249-avg,23-avg,188-avg
23-std,251-avg,29-avg,190-avg
33-std,254-avg,30-avg,192-avg
54-std,256-avg,33-avg,193-avg
157-std,265-avg,35-avg,196-avg
177-std,266-avg,36-avg,197-avg
251-std,270-avg,41-avg,198-avg
271-std,274-avg,50-avg,200-avg
3-range,275-avg,51-avg,201-avg
14-range,279-avg,52-avg,204-avg
20-range,285-avg,55-avg,206-avg
31-range,291-avg,57-avg,207-avg
81-range,295-avg,60-avg,208-avg
92-range,296-avg,68-avg,212-avg
107-range,298-avg,73-avg,213-avg
158-range,0-std,75-avg,214-avg
192-range,2-std,79-avg,219-avg
206-range,4-std,81-avg,220-avg
215-range,10-std,84-avg,221-avg
259-range,11-std,85-avg,222-avg
260-range,13-std,87-avg,223-avg
264-range,14-std,91-avg,227-avg
282-range,16-std,95-avg,228-avg
61-slope,17-std,99-avg,229-avg
47-avg,18-std,100-avg,230-avg
152-avg,19-std,103-avg,233-avg
173-avg,23-std,104-avg,239-avg
176-avg,35-std,111-avg,240-avg
183-avg,38-std,113-avg,242-avg
204-avg,46-std,115-avg,243-avg
234-avg,49-std,116-avg,248-avg
235-avg,52-std,123-avg,250-avg
238-avg,55-std,124-avg,251-avg
251-avg,58-std,125-avg,257-avg
262-avg,59-std,127-avg,258-avg
284-avg,66-std,129-avg,259-avg
285-avg,78-std,132-avg,260-avg
294-avg,82-std,134-avg,261-avg
0-std,84-std,145-avg,262-avg
1-std,90-std,152-avg,265-avg
3-std,96-std,154-avg,267-avg
4-std,98-std,155-avg,270-avg
7-std,101-std,157-avg,271-avg
8-std,105-std,160-avg,273-avg
12-std,110-std,161-avg,276-avg
13-std,111-std,162-avg,278-avg
14-std,112-std,164-avg,279-avg
17-std,113-std,166-avg,280-avg
29-std,116-std,167-avg,282-avg
30-std,120-std,168-avg,283-avg
46-std,132-std,170-avg,284-avg
60-std,134-std,171-avg,285-avg
61-std,135-std,173-avg,288-avg
62-std,140-std,176-avg,290-avg
65-std,143-std,177-avg,291-avg
67-std,151-std,178-avg,292-avg
69-std,154-std,183-avg,293-avg
81-std,161-std,184-avg,298-avg
93-std,164-std,187-avg,299-avg
94-std,165-std,189-avg,1-std
98-std,167-std,190-avg,2-std
100-std,179-std,191-avg,3-std
103-std,185-std,193-avg,5-std
108-std,187-std,195-avg,6-std
110-std,191-std,196-avg,7-std
115-std,199-std,198-avg,8-std
116-std,201-std,200-avg,9-std
124-std,205-std,201-avg,10-std
130-std,208-std,203-avg,11-std
131-std,209-std,205-avg,12-std
140-std,214-std,208-avg,13-std
142-std,223-std,212-avg,15-std
147-std,224-std,218-avg,16-std
156-std,230-std,219-avg,17-std
162-std,231-std,221-avg,19-std
169-std,232-std,223-avg,21-std
173-std,233-std,224-avg,22-std
176-std,236-std,226-avg,23-std
180-std,240-std,227-avg,24-std
186-std,245-std,228-avg,25-std
192-std,246-std,230-avg,26-std
195-std,250-std,236-avg,27-std
200-std,254-std,238-avg,28-std
201-std,262-std,239-avg,29-std
203-std,263-std,246-avg,30-std
221-std,264-std,247-avg,31-std
222-std,272-std,248-avg,32-std
229-std,281-std,252-avg,33-std
231-std,289-std,258-avg,34-std
237-std,295-std,260-avg,35-std
252-std,297-std,261-avg,36-std
253-std,5-range,266-avg,37-std
264-std,7-range,269-avg,38-std
265-std,12-range,270-avg,39-std
266-std,14-range,273-avg,40-std
274-std,17-range,275-avg,41-std
280-std,18-range,276-avg,42-std
282-std,21-range,280-avg,43-std
283-std,23-range,281-avg,44-std
284-std,24-range,284-avg,45-std
290-std,34-range,286-avg,46-std
292-std,39-range,288-avg,47-std
295-std,41-range,292-avg,48-std
296-std,44-range,293-avg,49-std
298-std,46-range,298-avg,51-std
0-range,56-range,299-avg,52-std
5-range,60-range,0-std,53-std
8-range,61-range,1-std,55-std
12-range,66-range,2-std,57-std
16-range,67-range,4-std,58-std
18-range,68-range,5-std,59-std
22-range,70-range,7-std,60-std
24-range,83-range,8-std,61-std
26-range,85-range,9-std,62-std
27-range,87-range,10-std,64-std
28-range,88-range,11-std,65-std
29-range,90-range,12-std,66-std
35-range,92-range,13-std,67-std
36-range,96-range,14-std,68-std
41-range,102-range,15-std,69-std
44-range,105-range,16-std,70-std
47-range,110-range,17-std,71-std
49-range,114-range,19-std,72-std
54-range,116-range,21-std,73-std
55-range,118-range,22-std,74-std
64-range,119-range,23-std,75-std
76-range,122-range,24-std,76-std
88-range,123-range,25-std,77-std
94-range,129-range,26-std,78-std
97-range,130-range,28-std,79-std
108-range,132-range,29-std,80-std
109-range,133-range,30-std,82-std
114-range,134-range,31-std,83-std
117-range,136-range,32-std,85-std
118-range,141-range,33-std,86-std
127-range,148-range,35-std,87-std
128-range,149-range,36-std,88-std
131-range,153-range,37-std,89-std
136-range,154-range,38-std,91-std
145-range,168-range,39-std,92-std
149-range,170-range,41-std,93-std
151-range,172-range,42-std,94-std
152-range,173-range,43-std,95-std
156-range,178-range,44-std,96-std
160-range,179-range,45-std,98-std
161-range,182-range,47-std,99-std
164-range,185-range,50-std,100-std
166-range,191-range,51-std,101-std
168-range,196-range,52-std,103-std
172-range,208-range,55-std,104-std
183-range,229-range,56-std,106-std
184-range,230-range,57-std,107-std
187-range,234-range,58-std,108-std
188-range,237-range,59-std,109-std
189-range,239-range,60-std,110-std
193-range,243-range,61-std,111-std
198-range,246-range,62-std,112-std
204-range,254-range,65-std,113-std
207-range,260-range,66-std,114-std
208-range,261-range,67-std,115-std
209-range,266-range,68-std,116-std
216-range,267-range,69-std,117-std
232-range,269-range,70-std,118-std
234-range,270-range,71-std,119-std
235-range,272-range,72-std,120-std
239-range,275-range,73-std,121-std
242-range,277-range,74-std,122-std
255-range,280-range,75-std,123-std
262-range,282-range,76-std,124-std
263-range,283-range,77-std,125-std
268-range,286-range,78-std,126-std
269-range,291-range,79-std,127-std
270-range,292-range,80-std,128-std
272-range,293-range,81-std,129-std
280-range,294-range,82-std,130-std
281-range,17-slope,83-std,131-std
286-range,24-slope,84-std,132-std
293-range,29-slope,85-std,133-std
295-range,46-slope,86-std,134-std
296-range,66-slope,87-std,135-std
1-slope,160-slope,88-std,136-std
3-slope,179-slope,90-std,138-std
4-slope,205-slope,91-std,139-std
6-slope,228-slope,92-std,140-std
10-slope,271-slope,93-std,141-std
18-slope,272-slope,94-std,142-std
20-slope,64-avg,95-std,143-std
22-slope,67-avg,96-std,144-std
23-slope,112-avg,97-std,145-std
24-slope,114-avg,98-std,146-std
26-slope,127-avg,99-std,147-std
37-slope,134-avg,100-std,148-std
43-slope,145-avg,101-std,150-std
46-slope,155-avg,102-std,151-std
51-slope,161-avg,103-std,152-std
55-slope,170-avg,104-std,153-std
59-slope,171-avg,105-std,154-std
81-slope,173-avg,106-std,155-std
95-slope,182-avg,107-std,156-std
106-slope,199-avg,108-std,157-std
108-slope,205-avg,109-std,158-std
121-slope,210-avg,111-std,159-std
123-slope,236-avg,112-std,160-std
130-slope,244-avg,113-std,161-std
132-slope,247-avg,114-std,162-std
135-slope,250-avg,115-std,163-std
172-slope,260-avg,116-std,164-std
196-slope,261-avg,117-std,165-std
198-slope,278-avg,118-std,166-std
210-slope,282-avg,119-std,167-std
212-slope,283-avg,120-std,168-std
216-slope,284-avg,121-std,169-std
239-slope,286-avg,122-std,171-std
241-slope,290-avg,123-std,172-std
251-slope,294-avg,124-std,173-std
295-slope,1-std,125-std,174-std
297-slope,3-std,126-std,175-std
2-std,6-std,127-std,176-std
5-std,7-std,128-std,177-std
6-std,8-std,129-std,178-std
9-std,9-std,131-std,179-std
10-std,12-std,132-std,180-std
11-std,15-std,133-std,181-std
15-std,20-std,134-std,183-std
16-std,21-std,135-std,184-std
18-std,22-std,136-std,185-std
19-std,24-std,137-std,186-std
20-std,25-std,138-std,187-std
21-std,27-std,139-std,188-std
22-std,28-std,140-std,189-std
24-std,29-std,141-std,190-std
25-std,30-std,142-std,191-std
26-std,31-std,143-std,192-std
28-std,32-std,144-std,193-std
31-std,33-std,145-std,194-std
32-std,34-std,146-std,195-std
34-std,36-std,147-std,196-std
35-std,37-std,148-std,197-std
36-std,39-std,149-std,198-std
37-std,40-std,150-std,199-std
38-std,41-std,152-std,200-std
39-std,42-std,153-std,201-std
40-std,43-std,154-std,202-std
41-std,44-std,155-std,203-std
42-std,45-std,156-std,204-std
43-std,47-std,157-std,205-std
44-std,48-std,158-std,206-std
45-std,50-std,159-std,207-std
47-std,51-std,160-std,208-std
48-std,53-std,161-std,209-std
49-std,54-std,162-std,210-std
50-std,56-std,163-std,211-std
51-std,57-std,164-std,212-std
52-std,60-std,165-std,213-std
53-std,61-std,166-std,214-std
55-std,62-std,168-std,215-std
56-std,63-std,169-std,216-std
57-std,64-std,170-std,217-std
58-std,65-std,171-std,218-std
59-std,67-std,172-std,219-std
63-std,69-std,173-std,220-std
64-std,70-std,174-std,221-std
66-std,71-std,175-std,222-std
68-std,72-std,176-std,223-std
70-std,73-std,177-std,224-std
71-std,74-std,178-std,225-std
72-std,75-std,179-std,226-std
73-std,76-std,180-std,227-std
74-std,77-std,181-std,228-std
75-std,79-std,182-std,229-std
76-std,80-std,184-std,230-std
77-std,81-std,186-std,231-std
78-std,83-std,187-std,232-std
79-std,85-std,188-std,233-std
80-std,86-std,189-std,235-std
82-std,87-std,190-std,236-std
83-std,88-std,191-std,237-std
84-std,89-std,192-std,238-std
85-std,91-std,193-std,239-std
86-std,92-std,194-std,240-std
87-std,93-std,195-std,241-std
88-std,94-std,196-std,242-std
89-std,95-std,199-std,243-std
90-std,99-std,200-std,245-std
91-std,100-std,202-std,246-std
92-std,102-std,203-std,247-std
95-std,103-std,204-std,248-std
96-std,104-std,205-std,249-std
97-std,106-std,206-std,250-std
99-std,107-std,209-std,251-std
101-std,108-std,210-std,252-std
102-std,109-std,211-std,253-std
104-std,114-std,212-std,254-std
105-std,117-std,213-std,255-std
106-std,118-std,214-std,256-std
107-std,119-std,215-std,257-std
109-std,121-std,216-std,258-std
111-std,122-std,217-std,259-std
112-std,123-std,218-std,260-std
113-std,124-std,219-std,262-std
114-std,125-std,220-std,263-std
117-std,126-std,221-std,265-std
118-std,127-std,222-std,266-std
119-std,128-std,223-std,267-std
