01s,06s,12s,03s
23x-avg,21y-avg,18c-std,7x-avg
23y-avg,21c-avg,21x-std,7y-avg
23c-avg,22x-avg,23y-std,7c-avg
24x-avg,22y-avg,23c-std,8x-avg
24y-avg,22c-avg,3x-range,8y-avg
24c-avg,23x-avg,4x-range,8c-avg
hand_flag-std,23y-avg,5c-range,9x-avg
0x-std,23c-avg,8x-range,9y-avg
0y-std,24x-avg,10x-range,9c-avg
0c-std,24y-avg,10y-range,10x-avg
1x-std,24c-avg,14x-range,10y-avg
1y-std,hand_flag-std,15c-range,10c-avg
1c-std,0x-std,17x-range,11x-avg
2x-std,0y-std,17y-range,11y-avg
2y-std,0c-std,17c-range,11c-avg
2c-std,1x-std,18x-range,12x-avg
3x-std,1y-std,18c-range,12c-avg
3y-std,1c-std,19x-range,13x-avg
3c-std,2x-std,20y-range,13y-avg
4x-std,2y-std,21x-range,13c-avg
4y-std,2c-std,23x-range,14x-avg
4c-std,3y-std,23y-range,14y-avg
5x-std,3c-std,23c-range,14c-avg
5y-std,4x-std,3y-slope,15y-avg
5c-std,4y-std,3x-avg,16y-avg
6x-std,5x-std,4x-avg,17y-avg
6y-std,5y-std,4y-avg,19x-avg
6c-std,5c-std,4c-avg,19y-avg
7x-std,6c-std,7y-avg,19c-avg
7y-std,7y-std,8y-avg,20x-avg
7c-std,7c-std,8c-avg,20y-avg
8x-std,8x-std,9y-avg,20c-avg
8y-std,8c-std,9c-avg,21x-avg
8c-std,9x-std,10x-avg,21y-avg
9x-std,9y-std,10y-avg,21c-avg
9y-std,9c-std,10c-avg,22x-avg
9c-std,10x-std,11x-avg,22y-avg
10x-std,10y-std,11y-avg,22c-avg
10y-std,10c-std,11c-avg,23x-avg
10c-std,11x-std,12x-avg,23y-avg
11y-std,11y-std,12y-avg,23c-avg
11c-std,11c-std,12c-avg,24x-avg
12x-std,12x-std,13x-avg,24y-avg
12y-std,12y-std,13y-avg,24c-avg
12c-std,12c-std,13c-avg,hand_flag-std
13x-std,13x-std,14x-avg,0x-std
13y-std,13y-std,14y-avg,0y-std
13c-std,13c-std,14c-avg,1y-std
14x-std,14x-std,19x-avg,2x-std
14y-std,14y-std,19y-avg,2c-std
14c-std,14c-std,19c-avg,3x-std
15x-std,15x-std,20y-avg,3y-std
15y-std,15y-std,20c-avg,3c-std
15c-std,15c-std,21x-avg,4x-std
16x-std,16x-std,21y-avg,4y-std
16y-std,16y-std,22x-avg,4c-std
16c-std,16c-std,22y-avg,5y-std
17x-std,17x-std,22c-avg,6y-std
17y-std,17y-std,23x-avg,7y-std
17c-std,17c-std,23y-avg,8x-std
18x-std,18x-std,23c-avg,8c-std
18y-std,18y-std,24x-avg,9y-std
19x-std,18c-std,24y-avg,9c-std
19y-std,19x-std,24c-avg,10x-std
19c-std,19y-std,hand_flag-std,10y-std
20x-std,19c-std,0x-std,10c-std
20y-std,20x-std,1y-std,11x-std
20c-std,20y-std,1c-std,11y-std
21x-std,20c-std,2c-std,11c-std
21y-std,21x-std,4x-std,12y-std
21c-std,21y-std,4c-std,12c-std
22x-std,21c-std,5c-std,13y-std
22c-std,22x-std,6y-std,13c-std
