01s,06s,12s,03s
187-avg,155-range,199-avg,204-avg
188-avg,224-range,201-avg,205-avg
190-avg,232-range,203-avg,206-avg
193-avg,244-range,204-avg,207-avg
195-avg,272-range,205-avg,208-avg
196-avg,16-avg,206-avg,209-avg
203-avg,38-avg,207-avg,210-avg
204-avg,43-avg,208-avg,211-avg
207-avg,45-avg,210-avg,213-avg
216-avg,46-avg,211-avg,214-avg
217-avg,50-avg,212-avg,215-avg
221-avg,52-avg,213-avg,216-avg
224-avg,53-avg,214-avg,217-avg
225-avg,60-avg,215-avg,218-avg
227-avg,61-avg,216-avg,220-avg
234-avg,64-avg,217-avg,221-avg
238-avg,69-avg,218-avg,222-avg
242-avg,70-avg,219-avg,223-avg
243-avg,71-avg,220-avg,224-avg
245-avg,74-avg,221-avg,225-avg
247-avg,81-avg,222-avg,226-avg
248-avg,86-avg,223-avg,227-avg
251-avg,94-avg,224-avg,228-avg
252-avg,104-avg,225-avg,229-avg
254-avg,106-avg,226-avg,230-avg
262-avg,108-avg,227-avg,231-avg
264-avg,117-avg,228-avg,233-avg
265-avg,120-avg,229-avg,234-avg
276-avg,124-avg,230-avg,236-avg
281-avg,125-avg,231-avg,237-avg
286-avg,132-avg,232-avg,238-avg
291-avg,133-avg,233-avg,239-avg
295-avg,135-avg,234-avg,240-avg
299-avg,146-avg,235-avg,241-avg
5-std,148-avg,236-avg,242-avg
10-std,155-avg,237-avg,243-avg
16-std,158-avg,238-avg,244-avg
20-std,159-avg,239-avg,245-avg
28-std,162-avg,240-avg,246-avg
29-std,167-avg,241-avg,247-avg
36-std,169-avg,242-avg,248-avg
45-std,173-avg,243-avg,249-avg
49-std,179-avg,246-avg,250-avg
84-std,185-avg,247-avg,251-avg
87-std,187-avg,248-avg,252-avg
109-std,191-avg,249-avg,253-avg
119-std,192-avg,250-avg,254-avg
121-std,194-avg,251-avg,255-avg
135-std,195-avg,252-avg,256-avg
139-std,197-avg,253-avg,257-avg
146-std,198-avg,254-avg,258-avg
169-std,200-avg,255-avg,259-avg
170-std,202-avg,256-avg,260-avg
211-std,206-avg,257-avg,261-avg
228-std,208-avg,258-avg,262-avg
239-std,215-avg,259-avg,263-avg
242-std,226-avg,260-avg,264-avg
263-std,230-avg,261-avg,265-avg
5-range,234-avg,262-avg,266-avg
8-range,237-avg,263-avg,267-avg
18-range,244-avg,264-avg,268-avg
19-range,245-avg,265-avg,269-avg
26-range,246-avg,266-avg,270-avg
34-range,250-avg,268-avg,271-avg
48-range,251-avg,269-avg,272-avg
62-range,252-avg,270-avg,273-avg
71-range,255-avg,271-avg,274-avg
80-range,257-avg,272-avg,275-avg
100-range,261-avg,273-avg,276-avg
123-range,262-avg,274-avg,277-avg
133-range,265-avg,275-avg,278-avg
136-range,266-avg,276-avg,279-avg
175-range,267-avg,277-avg,280-avg
185-range,275-avg,279-avg,281-avg
203-range,281-avg,280-avg,282-avg
209-range,283-avg,281-avg,283-avg
244-range,289-avg,282-avg,284-avg
267-range,290-avg,283-avg,286-avg
271-range,292-avg,284-avg,287-avg
92-slope,295-avg,285-avg,288-avg
45-avg,299-avg,286-avg,289-avg
70-avg,2-std,287-avg,290-avg
77-avg,3-std,288-avg,291-avg
89-avg,6-std,289-avg,292-avg
90-avg,7-std,290-avg,293-avg
95-avg,10-std,291-avg,294-avg
99-avg,15-std,292-avg,295-avg
114-avg,17-std,293-avg,296-avg
135-avg,18-std,294-avg,297-avg
136-avg,22-std,295-avg,298-avg
140-avg,24-std,299-avg,299-avg
141-avg,41-std,0-std,0-std
143-avg,44-std,1-std,1-std
154-avg,45-std,2-std,2-std
160-avg,47-std,3-std,3-std
163-avg,50-std,4-std,4-std
164-avg,52-std,5-std,5-std
166-avg,53-std,6-std,6-std
174-avg,60-std,7-std,7-std
175-avg,67-std,8-std,8-std
180-avg,71-std,9-std,9-std
186-avg,77-std,10-std,10-std
197-avg,82-std,11-std,11-std
198-avg,83-std,13-std,12-std
200-avg,87-std,14-std,13-std
202-avg,91-std,15-std,14-std
206-avg,92-std,16-std,15-std
213-avg,97-std,17-std,16-std
214-avg,105-std,18-std,17-std
215-avg,112-std,19-std,18-std
220-avg,120-std,20-std,19-std
226-avg,131-std,21-std,20-std
229-avg,132-std,22-std,21-std
235-avg,136-std,23-std,22-std
244-avg,139-std,24-std,23-std
246-avg,144-std,25-std,24-std
250-avg,147-std,26-std,25-std
253-avg,148-std,27-std,26-std
255-avg,149-std,28-std,27-std
260-avg,156-std,29-std,28-std
266-avg,158-std,30-std,29-std
267-avg,172-std,31-std,30-std
272-avg,174-std,32-std,31-std
274-avg,189-std,33-std,32-std
275-avg,198-std,34-std,33-std
282-avg,199-std,35-std,34-std
283-avg,206-std,36-std,35-std
284-avg,207-std,37-std,36-std
285-avg,225-std,38-std,37-std
287-avg,226-std,39-std,38-std
289-avg,227-std,40-std,39-std
293-avg,239-std,41-std,40-std
0-std,242-std,42-std,41-std
1-std,246-std,43-std,42-std
2-std,251-std,44-std,43-std
3-std,261-std,45-std,44-std
4-std,267-std,46-std,45-std
6-std,272-std,47-std,46-std
7-std,275-std,48-std,47-std
8-std,285-std,49-std,48-std
9-std,291-std,50-std,49-std
11-std,297-std,51-std,50-std
12-std,1-range,52-std,51-std
13-std,2-range,53-std,52-std
14-std,3-range,54-std,53-std
15-std,7-range,55-std,54-std
17-std,9-range,56-std,55-std
18-std,14-range,57-std,56-std
19-std,17-range,58-std,57-std
21-std,20-range,59-std,59-std
22-std,22-range,60-std,60-std
23-std,24-range,61-std,61-std
24-std,29-range,62-std,62-std
25-std,30-range,63-std,63-std
26-std,31-range,64-std,64-std
27-std,35-range,65-std,65-std
30-std,42-range,66-std,66-std
31-std,43-range,67-std,67-std
32-std,45-range,68-std,68-std
33-std,49-range,69-std,69-std
34-std,51-range,70-std,70-std
35-std,52-range,71-std,71-std
37-std,60-range,72-std,72-std
38-std,61-range,73-std,73-std
39-std,78-range,74-std,74-std
40-std,83-range,75-std,75-std
41-std,86-range,76-std,76-std
42-std,88-range,77-std,77-std
43-std,94-range,78-std,78-std
44-std,96-range,79-std,79-std
46-std,99-range,80-std,80-std
47-std,106-range,81-std,81-std
48-std,109-range,82-std,82-std
50-std,121-range,83-std,83-std
51-std,125-range,84-std,84-std
52-std,126-range,85-std,85-std
53-std,127-range,86-std,86-std
54-std,139-range,87-std,87-std
55-std,141-range,88-std,88-std
56-std,144-range,89-std,89-std
57-std,149-range,90-std,90-std
58-std,153-range,91-std,91-std
59-std,157-range,92-std,92-std
60-std,159-range,93-std,93-std
61-std,168-range,94-std,94-std
62-std,171-range,95-std,95-std
63-std,173-range,96-std,96-std
64-std,175-range,97-std,97-std
65-std,176-range,98-std,98-std
66-std,183-range,99-std,99-std
67-std,185-range,100-std,100-std
68-std,192-range,101-std,101-std
69-std,194-range,102-std,102-std
70-std,196-range,103-std,103-std
71-std,198-range,104-std,104-std
72-std,201-range,105-std,105-std
73-std,206-range,106-std,106-std
74-std,207-range,107-std,107-std
75-std,215-range,108-std,108-std
76-std,216-range,109-std,109-std
77-std,217-range,110-std,110-std
78-std,218-range,111-std,111-std
79-std,222-range,112-std,112-std
80-std,227-range,113-std,113-std
81-std,231-range,114-std,114-std
82-std,234-range,115-std,115-std
83-std,239-range,116-std,116-std
85-std,243-range,117-std,117-std
86-std,249-range,118-std,118-std
88-std,250-range,119-std,119-std
89-std,254-range,120-std,120-std
90-std,258-range,121-std,121-std
91-std,265-range,122-std,122-std
92-std,266-range,123-std,123-std
93-std,271-range,124-std,124-std
94-std,274-range,125-std,125-std
95-std,284-range,126-std,126-std
96-std,290-range,127-std,127-std
97-std,291-range,128-std,128-std
98-std,292-range,129-std,129-std
99-std,296-range,130-std,130-std
100-std,10-slope,131-std,131-std
101-std,35-avg,132-std,132-std
102-std,47-avg,133-std,133-std
103-std,49-avg,134-std,134-std
104-std,88-avg,135-std,135-std
105-std,89-avg,136-std,136-std
106-std,97-avg,137-std,137-std
107-std,98-avg,138-std,138-std
108-std,112-avg,139-std,139-std
110-std,119-avg,140-std,140-std
111-std,140-avg,141-std,141-std
112-std,142-avg,142-std,142-std
113-std,151-avg,143-std,143-std
114-std,152-avg,144-std,144-std
115-std,174-avg,145-std,145-std
116-std,175-avg,146-std,146-std
117-std,188-avg,147-std,147-std
118-std,204-avg,148-std,148-std
120-std,218-avg,149-std,149-std
122-std,222-avg,150-std,150-std
123-std,223-avg,151-std,151-std
124-std,228-avg,152-std,152-std
125-std,238-avg,153-std,153-std
126-std,240-avg,154-std,154-std
127-std,241-avg,155-std,155-std
128-std,247-avg,156-std,156-std
129-std,248-avg,157-std,157-std
130-std,253-avg,158-std,158-std
131-std,254-avg,159-std,159-std
132-std,259-avg,160-std,160-std
133-std,264-avg,161-std,161-std
134-std,271-avg,162-std,162-std
136-std,278-avg,163-std,163-std
137-std,282-avg,164-std,164-std
138-std,285-avg,165-std,165-std
140-std,288-avg,166-std,166-std
141-std,291-avg,167-std,167-std
142-std,293-avg,168-std,168-std
143-std,0-std,169-std,169-std
144-std,1-std,170-std,170-std
145-std,4-std,171-std,171-std
147-std,8-std,172-std,172-std
148-std,9-std,173-std,173-std
149-std,11-std,174-std,174-std
150-std,12-std,175-std,175-std
151-std,13-std,176-std,176-std
152-std,16-std,177-std,177-std
153-std,19-std,178-std,178-std
154-std,20-std,179-std,180-std
155-std,21-std,180-std,181-std
156-std,23-std,181-std,182-std
157-std,25-std,182-std,183-std
158-std,26-std,183-std,184-std
159-std,27-std,184-std,185-std
160-std,28-std,185-std,186-std
161-std,29-std,186-std,187-std
162-std,30-std,187-std,188-std
163-std,31-std,188-std,189-std
164-std,32-std,189-std,190-std
165-std,33-std,190-std,191-std
166-std,34-std,191-std,192-std
167-std,35-std,192-std,193-std
168-std,36-std,193-std,194-std
171-std,37-std,194-std,195-std
172-std,38-std,195-std,196-std
173-std,40-std,196-std,197-std
174-std,42-std,197-std,198-std
175-std,43-std,198-std,199-std
176-std,46-std,199-std,200-std
177-std,48-std,200-std,201-std
178-std,51-std,201-std,202-std
179-std,54-std,202-std,203-std
180-std,55-std,203-std,204-std
181-std,56-std,204-std,205-std
182-std,57-std,205-std,206-std
183-std,58-std,206-std,207-std
184-std,59-std,207-std,208-std
185-std,61-std,208-std,209-std
186-std,62-std,209-std,210-std
187-std,63-std,210-std,211-std
188-std,65-std,211-std,212-std
189-std,66-std,212-std,213-std
190-std,68-std,213-std,214-std
191-std,70-std,214-std,215-std
192-std,72-std,215-std,216-std
193-std,73-std,216-std,217-std
194-std,74-std,217-std,218-std
195-std,75-std,218-std,219-std
196-std,76-std,219-std,220-std
197-std,78-std,220-std,221-std
198-std,79-std,221-std,222-std
199-std,80-std,222-std,223-std
200-std,81-std,223-std,224-std
201-std,84-std,224-std,225-std
202-std,86-std,225-std,226-std
203-std,88-std,226-std,227-std
204-std,89-std,227-std,228-std
205-std,90-std,228-std,229-std
206-std,93-std,229-std,230-std
207-std,94-std,230-std,231-std
208-std,95-std,231-std,232-std
209-std,96-std,232-std,233-std
210-std,98-std,233-std,234-std
212-std,99-std,234-std,235-std
213-std,100-std,235-std,236-std
214-std,101-std,236-std,237-std
215-std,102-std,237-std,238-std
216-std,103-std,238-std,239-std
217-std,104-std,239-std,240-std
218-std,106-std,240-std,241-std
219-std,107-std,241-std,242-std
220-std,108-std,242-std,243-std
221-std,109-std,243-std,244-std
222-std,110-std,244-std,245-std
223-std,111-std,245-std,246-std
224-std,113-std,246-std,247-std
225-std,114-std,247-std,248-std
226-std,115-std,248-std,249-std
227-std,117-std,249-std,250-std
229-std,118-std,250-std,251-std
230-std,119-std,251-std,252-std
231-std,121-std,252-std,253-std
232-std,122-std,253-std,254-std
233-std,123-std,254-std,255-std
234-std,124-std,255-std,256-std
235-std,125-std,256-std,257-std
236-std,126-std,257-std,258-std
237-std,127-std,258-std,259-std
238-std,128-std,259-std,260-std
240-std,129-std,260-std,261-std
241-std,130-std,261-std,262-std
243-std,133-std,262-std,263-std
244-std,134-std,263-std,264-std
245-std,135-std,264-std,265-std
246-std,137-std,265-std,266-std
247-std,138-std,266-std,267-std
248-std,140-std,267-std,269-std
249-std,141-std,270-std,270-std
250-std,142-std,271-std,271-std
251-std,143-std,272-std,272-std
252-std,145-std,273-std,273-std
253-std,146-std,274-std,274-std
254-std,150-std,275-std,275-std
255-std,151-std,276-std,276-std
256-std,152-std,277-std,277-std
257-std,153-std,278-std,278-std
258-std,154-std,279-std,280-std
259-std,155-std,280-std,281-std
260-std,157-std,281-std,282-std
261-std,159-std,282-std,283-std
262-std,160-std,283-std,284-std
264-std,161-std,284-std,285-std
265-std,162-std,285-std,286-std
266-std,163-std,286-std,287-std
267-std,164-std,287-std,288-std
268-std,165-std,288-std,289-std
269-std,166-std,289-std,290-std
270-std,167-std,290-std,291-std
271-std,168-std,291-std,292-std
272-std,169-std,292-std,293-std
273-std,170-std,293-std,294-std
274-std,171-std,294-std,295-std
275-std,173-std,295-std,296-std
276-std,175-std,296-std,297-std
277-std,176-std,297-std,298-std
