01s,06s,12s,03s
106-avg,214-avg,33-avg,208-avg
189-avg,215-avg,34-avg,212-avg
197-avg,218-avg,44-avg,247-avg
224-avg,220-avg,46-avg,250-avg
66-avg,248-avg,60-avg,265-avg
109-avg,249-avg,61-avg,289-avg
165-avg,259-avg,62-avg,296-avg
202-avg,289-avg,63-avg,98-std
234-avg,15-std,64-avg,258-std
259-avg,4-range,66-avg,283-range
152-avg,11-range,68-avg,71-avg
130-avg,45-avg,69-avg,167-avg
210-avg,107-avg,72-avg,194-avg
223-avg,121-avg,76-avg,200-avg
295-avg,165-avg,78-avg,219-avg
129-avg,183-avg,84-avg,251-avg
212-avg,202-avg,87-avg,274-avg
230-avg,205-avg,88-avg,23-std
246-avg,223-avg,90-avg,227-std
211-avg,268-avg,91-avg,250-std
279-avg,274-avg,93-avg,6-range
281-avg,66-std,97-avg,182-range
240-avg,200-std,99-avg,64-avg
268-avg,226-std,100-avg,108-avg
274-avg,249-std,102-avg,114-avg
198-avg,174-range,103-avg,119-avg
201-avg,225-range,105-avg,162-avg
253-avg,269-slope,106-avg,202-avg
164-avg,62-avg,108-avg,211-avg
184-avg,69-avg,109-avg,220-avg
225-avg,72-avg,111-avg,16-std
273-avg,124-avg,113-avg,95-std
289-avg,163-avg,115-avg,181-std
236-avg,171-avg,121-avg,74-range
170-avg,188-avg,123-avg,216-range
200-avg,194-avg,124-avg,69-avg
227-avg,196-avg,125-avg,176-avg
270-avg,230-avg,126-avg,198-avg
287-avg,24-std,127-avg,213-avg
294-avg,94-std,128-avg,226-avg
265-avg,107-std,131-avg,237-avg
155-avg,108-std,132-avg,273-avg
205-avg,119-std,135-avg,15-std
258-std,125-std,139-avg,68-std
198-std,186-std,141-avg,101-std
10-range,280-std,143-avg,108-std
146-std,13-range,144-avg,112-std
15-range,71-range,145-avg,0-range
7-std,134-range,155-avg,97-range
4-range,264-range,158-avg,132-range
38-range,290-range,161-avg,227-range
206-range,20-slope,162-avg,239-range
276-range,37-slope,163-avg,237-slope
24-std,137-slope,164-avg,60-avg
27-std,115-avg,165-avg,68-avg
232-std,129-avg,167-avg,107-avg
256-std,141-avg,168-avg,165-avg
75-range,252-avg,171-avg,170-avg
76-range,271-avg,175-avg,239-avg
113-range,287-avg,176-avg,249-avg
281-range,294-avg,177-avg,13-std
3-std,10-std,181-avg,119-std
11-std,16-std,182-avg,162-std
15-std,87-std,183-avg,185-std
19-std,113-std,184-avg,277-std
215-std,145-std,186-avg,60-range
281-std,205-std,189-avg,200-range
23-range,8-range,191-avg,219-range
33-range,63-range,194-avg,99-slope
166-range,101-avg,196-avg,109-slope
252-range,179-avg,197-avg,164-avg
254-range,198-avg,198-avg,188-avg
286-range,234-avg,199-avg,206-avg
296-range,286-avg,200-avg,225-avg
50-std,64-std,201-avg,255-avg
125-std,68-std,202-avg,271-avg
156-std,121-std,203-avg,276-avg
184-std,129-std,205-avg,287-avg
186-std,132-std,206-avg,29-std
205-std,159-std,208-avg,30-std
206-std,176-std,210-avg,102-std
280-std,222-std,211-avg,135-std
5-range,281-std,212-avg,148-std
7-range,10-range,213-avg,168-std
64-range,28-range,215-avg,176-std
123-range,58-range,218-avg,201-std
147-range,82-range,219-avg,206-std
162-range,149-range,222-avg,9-range
199-range,233-range,224-avg,55-range
283-range,248-range,226-avg,87-range
2-std,256-range,227-avg,128-range
9-std,271-range,229-avg,136-range
10-std,221-slope,231-avg,173-range
29-std,219-avg,234-avg,201-range
39-std,226-avg,236-avg,42-slope
40-std,250-avg,237-avg,62-avg
41-std,253-avg,239-avg,92-avg
49-std,265-avg,240-avg,196-avg
53-std,20-std,241-avg,201-avg
69-std,28-std,242-avg,10-std
95-std,32-std,243-avg,25-std
108-std,105-std,247-avg,49-std
130-std,168-std,248-avg,52-std
155-std,174-std,249-avg,69-std
160-std,180-std,250-avg,74-std
218-std,198-std,252-avg,90-std
271-std,239-std,253-avg,159-std
17-range,245-std,255-avg,198-std
40-range,267-std,257-avg,211-std
44-range,275-std,259-avg,269-std
88-range,290-std,262-avg,275-std
101-range,3-range,265-avg,279-std
130-range,14-range,267-avg,8-range
132-range,19-range,270-avg,15-range
145-range,29-range,271-avg,38-range
156-range,40-range,272-avg,49-range
160-range,54-range,273-avg,61-range
186-range,62-range,274-avg,72-range
222-range,69-range,275-avg,78-range
230-range,120-range,276-avg,185-range
231-range,131-range,277-avg,49-slope
236-range,139-range,280-avg,125-slope
247-range,196-range,281-avg,177-slope
258-range,242-range,283-avg,244-slope
294-range,285-range,285-avg,118-avg
177-slope,296-range,288-avg,186-avg
21-std,21-slope,289-avg,253-avg
32-std,159-slope,290-avg,31-std
35-std,98-avg,294-avg,39-std
38-std,206-avg,295-avg,44-std
73-std,239-avg,297-avg,55-std
78-std,0-std,298-avg,67-std
112-std,8-std,0-std,87-std
151-std,9-std,1-std,105-std
162-std,23-std,2-std,109-std
193-std,26-std,3-std,122-std
220-std,43-std,6-std,123-std
221-std,51-std,7-std,126-std
226-std,62-std,8-std,132-std
229-std,112-std,9-std,145-std
242-std,140-std,10-std,155-std
252-std,148-std,11-std,158-std
260-std,158-std,12-std,177-std
266-std,252-std,13-std,190-std
267-std,271-std,14-std,203-std
288-std,30-range,16-std,223-std
13-range,36-range,17-std,254-std
14-range,44-range,18-std,272-std
16-range,61-range,20-std,280-std
25-range,80-range,21-std,2-range
29-range,107-range,22-std,17-range
35-range,118-range,24-std,24-range
51-range,122-range,25-std,31-range
58-range,130-range,27-std,35-range
66-range,144-range,28-std,44-range
81-range,167-range,31-std,104-range
93-range,193-range,32-std,123-range
108-range,231-range,33-std,130-range
119-range,239-range,35-std,176-range
131-range,241-range,37-std,238-range
134-range,245-range,38-std,248-range
151-range,259-range,40-std,264-range
211-range,280-range,41-std,287-range
241-range,13-slope,42-std,139-slope
245-range,16-slope,43-std,201-slope
253-range,25-slope,44-std,163-avg
259-range,66-slope,45-std,1-std
280-range,124-slope,46-std,21-std
215-slope,180-slope,47-std,40-std
217-slope,270-avg,48-std,46-std
0-std,281-avg,50-std,64-std
1-std,4-std,51-std,66-std
5-std,7-std,52-std,75-std
14-std,14-std,53-std,77-std
18-std,19-std,54-std,85-std
30-std,21-std,56-std,131-std
46-std,35-std,57-std,229-std
52-std,37-std,58-std,231-std
55-std,38-std,59-std,267-std
64-std,50-std,60-std,3-range
98-std,58-std,61-std,11-range
101-std,59-std,62-std,39-range
105-std,63-std,63-std,67-range
120-std,80-std,66-std,88-range
134-std,83-std,67-std,89-range
139-std,137-std,68-std,145-range
140-std,144-std,69-std,148-range
144-std,149-std,71-std,149-range
149-std,154-std,72-std,168-range
163-std,155-std,73-std,181-range
173-std,162-std,74-std,187-range
236-std,171-std,75-std,246-range
241-std,185-std,76-std,263-range
249-std,237-std,77-std,270-range
254-std,242-std,78-std,186-slope
276-std,250-std,79-std,204-slope
6-range,257-std,80-std,26-std
12-range,263-std,81-std,33-std
20-range,289-std,82-std,37-std
22-range,1-range,83-std,62-std
27-range,9-range,84-std,63-std
28-range,12-range,85-std,65-std
31-range,17-range,86-std,99-std
43-range,23-range,87-std,118-std
54-range,25-range,88-std,127-std
59-range,27-range,89-std,129-std
62-range,32-range,90-std,139-std
74-range,38-range,91-std,146-std
77-range,51-range,92-std,154-std
85-range,60-range,94-std,161-std
86-range,68-range,96-std,170-std
91-range,77-range,97-std,191-std
92-range,89-range,98-std,192-std
112-range,100-range,99-std,200-std
116-range,105-range,100-std,202-std
127-range,113-range,102-std,214-std
142-range,125-range,103-std,221-std
169-range,128-range,104-std,233-std
181-range,142-range,106-std,235-std
185-range,146-range,107-std,237-std
188-range,155-range,108-std,248-std
189-range,156-range,109-std,256-std
192-range,168-range,110-std,259-std
193-range,180-range,111-std,262-std
228-range,185-range,112-std,273-std
242-range,192-range,113-std,278-std
251-range,207-range,114-std,285-std
261-range,210-range,115-std,288-std
266-range,213-range,116-std,297-std
278-range,223-range,117-std,7-range
285-range,234-range,118-std,12-range
299-range,237-range,119-std,25-range
26-slope,247-range,120-std,40-range
36-slope,252-range,121-std,93-range
41-slope,258-range,122-std,96-range
125-slope,272-range,123-std,100-range
132-slope,294-range,124-std,120-range
156-slope,73-slope,125-std,121-range
6-std,84-slope,126-std,124-range
16-std,102-slope,127-std,133-range
17-std,115-slope,128-std,137-range
26-std,125-slope,129-std,139-range
31-std,149-slope,131-std,152-range
37-std,157-slope,132-std,156-range
45-std,194-slope,133-std,170-range
48-std,198-slope,134-std,177-range
58-std,205-slope,135-std,208-range
59-std,206-slope,136-std,255-range
83-std,207-slope,137-std,262-range
85-std,213-slope,138-std,282-range
87-std,274-slope,139-std,291-range
91-std,280-slope,140-std,295-range
93-std,225-avg,142-std,5-slope
99-std,228-avg,143-std,16-slope
102-std,267-avg,145-std,24-slope
106-std,3-std,146-std,39-slope
107-std,12-std,147-std,43-slope
115-std,18-std,148-std,105-slope
131-std,39-std,150-std,193-slope
142-std,52-std,151-std,260-slope
143-std,57-std,152-std,4-std
158-std,69-std,153-std,8-std
161-std,70-std,154-std,9-std
168-std,78-std,155-std,32-std
189-std,81-std,156-std,42-std
196-std,90-std,157-std,43-std
203-std,96-std,158-std,48-std
212-std,104-std,159-std,61-std
227-std,109-std,160-std,70-std
245-std,111-std,161-std,71-std
253-std,122-std,162-std,83-std
261-std,135-std,163-std,89-std
282-std,152-std,165-std,113-std
284-std,179-std,166-std,147-std
285-std,184-std,167-std,149-std
295-std,187-std,168-std,196-std
8-range,193-std,169-std,205-std
9-range,203-std,170-std,208-std
11-range,206-std,171-std,213-std
24-range,208-std,172-std,216-std
32-range,219-std,173-std,222-std
36-range,238-std,174-std,226-std
49-range,243-std,175-std,230-std
53-range,255-std,176-std,239-std
55-range,256-std,178-std,247-std
61-range,258-std,179-std,263-std
63-range,259-std,180-std,287-std
67-range,260-std,181-std,292-std
69-range,274-std,182-std,293-std
80-range,285-std,183-std,296-std
87-range,7-range,184-std,5-range
98-range,18-range,185-std,14-range
107-range,20-range,186-std,22-range
110-range,26-range,187-std,23-range
125-range,33-range,188-std,27-range
126-range,37-range,189-std,28-range
140-range,49-range,190-std,34-range
144-range,56-range,191-std,37-range
153-range,66-range,192-std,41-range
157-range,70-range,194-std,46-range
182-range,78-range,195-std,56-range
183-range,88-range,196-std,65-range
184-range,92-range,197-std,66-range
195-range,95-range,198-std,79-range
201-range,97-range,199-std,80-range
203-range,99-range,200-std,91-range
208-range,102-range,201-std,98-range
217-range,109-range,202-std,101-range
218-range,111-range,203-std,102-range
237-range,112-range,204-std,103-range
248-range,119-range,206-std,109-range
256-range,145-range,207-std,112-range
262-range,151-range,209-std,127-range
269-range,152-range,210-std,134-range
270-range,157-range,211-std,141-range
282-range,164-range,212-std,189-range
284-range,169-range,213-std,193-range
288-range,170-range,214-std,199-range
289-range,171-range,215-std,206-range
61-slope,175-range,216-std,226-range
137-slope,176-range,217-std,228-range
160-slope,177-range,218-std,244-range
186-slope,181-range,219-std,249-range
260-slope,189-range,221-std,253-range
263-slope,200-range,222-std,266-range
4-std,211-range,224-std,278-range
20-std,214-range,225-std,280-range
28-std,218-range,226-std,6-slope
44-std,227-range,227-std,7-slope
56-std,235-range,228-std,21-slope
66-std,236-range,229-std,51-slope
72-std,244-range,230-std,112-slope
80-std,257-range,231-std,127-slope
81-std,263-range,233-std,136-slope
90-std,265-range,234-std,140-slope
96-std,266-range,235-std,146-slope
116-std,269-range,236-std,148-slope
118-std,276-range,237-std,170-slope
119-std,279-range,239-std,187-slope
121-std,283-range,240-std,208-slope
123-std,284-range,241-std,214-slope
128-std,287-range,243-std,216-slope
129-std,291-range,244-std,232-slope
