01s,06s,12s,03s
15y-slope,6y-std,7y-std,15y-avg
9c-avg,6c-std,7c-std,18x-avg
10x-avg,7x-std,8x-std,19x-avg
12x-avg,7y-std,8y-std,19y-avg
12y-avg,8c-std,8c-std,19c-avg
13c-avg,9x-std,9y-std,20x-avg
22c-avg,9y-std,9c-std,20y-avg
3y-std,9c-std,10x-std,20c-avg
4y-std,10x-std,10y-std,21x-avg
6c-std,10y-std,10c-std,21y-avg
7x-std,10c-std,11x-std,21c-avg
8x-std,11x-std,11y-std,22x-avg
8c-std,11y-std,11c-std,22y-avg
9x-std,11c-std,12x-std,22c-avg
11y-std,12x-std,12y-std,23x-avg
12c-std,12y-std,12c-std,23y-avg
16x-std,12c-std,13x-std,23c-avg
18y-std,13x-std,13y-std,24x-avg
19x-std,13y-std,14x-std,24c-avg
20x-std,14x-std,14y-std,hand_flag-std
20y-std,14y-std,14c-std,1x-std
22x-std,14c-std,15x-std,1c-std
24y-std,15x-std,15y-std,2x-std
9x-range,15y-std,15c-std,3x-std
11x-range,16c-std,16x-std,3y-std
11c-range,17x-std,16y-std,4x-std
12c-range,17y-std,16c-std,4y-std
14y-range,17c-std,17x-std,4c-std
15x-range,18x-std,17y-std,5x-std
16c-range,18y-std,17c-std,5y-std
21c-range,19x-std,18x-std,6y-std
22y-range,19y-std,18y-std,7y-std
