01s,06s,12s,03s
18c-range,17y-std,3c-avg,5c-std
7c-avg,2c-range,4x-avg,6x-std
8y-avg,5c-range,4c-avg,7c-std
11x-avg,3y-avg,6y-avg,12x-std
0y-std,6x-avg,7x-avg,15x-std
0c-std,15y-std,8x-avg,17c-std
3y-std,15c-range,8c-avg,18y-std
5y-std,16y-range,17y-avg,22x-std
12x-range,6c-avg,0x-std,5c-range
16c-range,8x-slope,2y-std,12c-range
17y-range,18c-slope,3y-std,16c-range
2y-slope,3x-avg,4y-std,21c-range
17x-slope,3y-std,5x-std,4y-avg
7y-avg,8x-std,6x-std,12y-avg
11c-avg,10y-std,6c-std,0c-std
19x-avg,0c-range,7y-std,1y-std
3x-std,16c-slope,8x-std,1c-std
4y-std,0c-std,9y-std,3y-std
4c-std,4c-std,9c-std,5y-std
6y-std,18x-std,10y-std,8x-std
7c-std,19c-std,11c-std,8c-std
12x-std,3y-range,13y-std,15y-std
13y-std,3c-range,16y-std,16c-std
13c-std,19y-range,18x-std,18x-std
17x-std,5y-slope,18y-std,21x-std
2x-range,16x-slope,19c-std,0y-range
3x-range,2x-std,0x-range,1x-range
5x-range,3x-std,1y-range,2x-range
9x-range,15x-std,2x-range,2c-range
19c-range,2x-range,2c-range,6x-range
22y-range,4c-range,3x-range,6y-range
2x-slope,8y-range,3y-range,16x-range
6c-slope,15x-range,4x-range,17x-range
12x-slope,16c-range,4c-range,21x-range
18c-slope,15c-slope,5c-range,22c-range
8c-avg,4c-avg,7y-range,23y-range
9c-avg,6y-avg,8y-range,24x-range
12x-avg,8x-avg,9x-range,2x-slope
23x-avg,9x-avg,10c-range,3y-slope
2x-std,3c-std,12x-range,16y-slope
3c-std,12x-range,12y-range,0y-avg
5x-std,17x-range,15y-range,1x-avg
16x-std,18x-range,17x-range,5y-avg
16y-std,18y-range,17y-range,7x-avg
22x-std,0x-slope,17c-range,2y-std
23x-std,17x-slope,18x-range,2c-std
0y-range,6c-std,18c-range,4c-std
2y-range,7x-std,20y-range,6y-std
3c-range,21c-std,21c-range,6c-std
6x-range,3x-range,hand_flag-slope,8y-std
7c-range,8x-range,7c-slope,13x-std
10x-range,13y-range,8c-slope,13c-std
15x-range,17y-range,9x-slope,14y-std
5x-slope,1x-slope,10x-slope,16x-std
6x-slope,1y-slope,12x-slope,17y-std
7y-slope,2x-slope,17x-slope,18c-std
13y-slope,2c-slope,17c-slope,19y-std
15x-slope,6c-slope,18y-slope,21c-std
15c-slope,4x-avg,18c-slope,24y-std
18y-slope,7y-avg,3x-avg,1y-range
4x-avg,hand_flag-std,4y-avg,3y-range
4y-avg,4x-std,6x-avg,5x-range
4c-avg,6x-std,7y-avg,5y-range
10y-avg,6y-std,7c-avg,6c-range
14y-avg,9x-std,8y-avg,7x-range
22x-avg,9y-std,9x-avg,7y-range
23c-avg,19y-std,9y-avg,7c-range
1y-std,20y-std,9c-avg,8y-range
4x-std,6x-range,10x-avg,9y-range
7x-std,6y-range,10y-avg,10x-range
7y-std,9y-range,11x-avg,10c-range
8c-std,20c-range,11y-avg,12x-range
9x-std,0c-slope,11c-avg,13y-range
9c-std,1c-slope,12x-avg,15x-range
10x-std,3x-slope,12y-avg,16y-range
11x-std,4x-slope,12c-avg,17c-range
12c-std,5x-slope,13x-avg,18y-range
16c-std,15x-slope,13y-avg,23x-range
17y-std,4y-avg,13c-avg,24y-range
19x-std,7x-avg,14x-avg,hand_flag-slope
22c-std,10x-avg,14y-avg,1y-slope
24c-std,12x-avg,14c-avg,2y-slope
1x-range,7y-std,15y-avg,3c-slope
3y-range,8y-std,16c-avg,4y-slope
4c-range,10x-std,19x-avg,6y-slope
7x-range,12y-std,19y-avg,11y-slope
9c-range,13c-std,19c-avg,15c-slope
10y-range,23y-std,20x-avg,17x-slope
10c-range,23c-std,20y-avg,18x-slope
16y-range,24y-std,20c-avg,18y-slope
21c-range,15y-range,21x-avg,18c-slope
23y-range,hand_flag-slope,21y-avg,9x-avg
0x-slope,3c-slope,22x-avg,9y-avg
0c-slope,6y-slope,22y-avg,10c-avg
1y-slope,8y-slope,22c-avg,11y-avg
