01s,06s,12s,03s
23-avg,16-avg,131-avg,152-avg
32-avg,21-avg,169-avg,158-avg
54-avg,25-avg,178-avg,175-avg
59-avg,29-avg,195-avg,182-avg
62-avg,40-avg,11-avg,183-avg
79-avg,43-avg,15-avg,189-avg
84-avg,62-avg,19-avg,9-std
98-avg,66-avg,30-avg,34-std
131-avg,76-avg,39-avg,3-range
139-avg,77-avg,45-avg,8-avg
165-avg,79-avg,48-avg,13-avg
177-avg,80-avg,52-avg,19-avg
14-avg,84-avg,56-avg,22-avg
30-avg,90-avg,60-avg,23-avg
38-avg,98-avg,63-avg,25-avg
53-avg,102-avg,71-avg,26-avg
55-avg,103-avg,82-avg,27-avg
58-avg,104-avg,83-avg,30-avg
69-avg,112-avg,98-avg,34-avg
74-avg,115-avg,105-avg,36-avg
85-avg,118-avg,109-avg,46-avg
97-avg,133-avg,112-avg,54-avg
99-avg,136-avg,117-avg,57-avg
120-avg,146-avg,119-avg,59-avg
130-avg,163-avg,124-avg,65-avg
172-avg,167-avg,134-avg,66-avg
194-avg,169-avg,139-avg,68-avg
6-avg,172-avg,142-avg,70-avg
40-avg,174-avg,143-avg,73-avg
42-avg,177-avg,165-avg,74-avg
52-avg,186-avg,168-avg,80-avg
65-avg,190-avg,184-avg,90-avg
66-avg,191-avg,88-std,96-avg
75-avg,193-avg,4-avg,97-avg
86-avg,194-avg,16-avg,100-avg
96-avg,197-avg,18-avg,102-avg
102-avg,199-avg,26-avg,106-avg
116-avg,196-range,54-avg,108-avg
118-avg,5-avg,55-avg,112-avg
132-avg,6-avg,57-avg,116-avg
140-avg,28-avg,59-avg,122-avg
143-avg,32-avg,64-avg,123-avg
151-avg,35-avg,73-avg,126-avg
160-avg,36-avg,78-avg,130-avg
167-avg,38-avg,89-avg,136-avg
175-avg,41-avg,90-avg,143-avg
190-avg,47-avg,97-avg,145-avg
191-avg,50-avg,99-avg,147-avg
1-range,52-avg,102-avg,162-avg
34-avg,56-avg,103-avg,163-avg
43-avg,58-avg,104-avg,166-avg
56-avg,63-avg,114-avg,177-avg
60-avg,65-avg,118-avg,178-avg
68-avg,68-avg,121-avg,180-avg
83-avg,71-avg,127-avg,190-avg
100-avg,78-avg,130-avg,191-avg
114-avg,82-avg,133-avg,197-avg
119-avg,85-avg,140-avg,2-std
127-avg,87-avg,141-avg,17-std
141-avg,93-avg,147-avg,25-std
144-avg,95-avg,155-avg,135-std
146-avg,97-avg,163-avg,178-std
158-avg,100-avg,164-avg,0-range
163-avg,110-avg,166-avg,71-range
173-avg,111-avg,172-avg,3-avg
179-avg,114-avg,173-avg,6-avg
180-avg,116-avg,175-avg,28-avg
181-avg,117-avg,191-avg,35-avg
197-avg,123-avg,193-avg,37-avg
50-avg,126-avg,198-avg,38-avg
51-avg,127-avg,9-std,40-avg
57-avg,131-avg,3-range,41-avg
70-avg,134-avg,6-range,45-avg
71-avg,135-avg,32-range,47-avg
88-avg,139-avg,34-range,51-avg
108-avg,140-avg,40-range,52-avg
113-avg,141-avg,46-range,53-avg
115-avg,142-avg,182-range,55-avg
126-avg,143-avg,8-avg,56-avg
129-avg,144-avg,22-avg,58-avg
133-avg,145-avg,23-avg,62-avg
145-avg,147-avg,28-avg,69-avg
148-avg,149-avg,37-avg,71-avg
150-avg,151-avg,38-avg,75-avg
185-avg,153-avg,41-avg,78-avg
193-avg,154-avg,47-avg,79-avg
195-avg,155-avg,50-avg,81-avg
22-avg,156-avg,51-avg,82-avg
37-avg,157-avg,79-avg,84-avg
47-avg,158-avg,86-avg,85-avg
48-avg,161-avg,87-avg,86-avg
73-avg,168-avg,93-avg,88-avg
78-avg,173-avg,106-avg,89-avg
81-avg,175-avg,108-avg,93-avg
93-avg,179-avg,110-avg,95-avg
95-avg,183-avg,115-avg,98-avg
110-avg,184-avg,123-avg,103-avg
111-avg,185-avg,126-avg,107-avg
112-avg,192-avg,129-avg,109-avg
117-avg,196-avg,136-avg,110-avg
121-avg,198-avg,138-avg,111-avg
124-avg,2-std,146-avg,113-avg
134-avg,7-std,149-avg,114-avg
137-avg,12-std,150-avg,115-avg
142-avg,45-std,153-avg,117-avg
147-avg,91-std,170-avg,118-avg
168-avg,156-std,174-avg,119-avg
174-avg,161-std,186-avg,121-avg
187-avg,182-std,192-avg,124-avg
189-avg,1-range,194-avg,125-avg
198-avg,4-range,1-std,127-avg
199-avg,8-range,2-std,128-avg
35-avg,10-range,34-std,129-avg
45-avg,19-range,62-std,131-avg
103-avg,27-range,98-std,132-avg
125-avg,48-range,105-std,134-avg
136-avg,51-range,0-range,135-avg
138-avg,86-range,4-range,137-avg
149-avg,122-range,8-range,138-avg
162-avg,130-range,11-range,140-avg
169-avg,140-range,14-range,141-avg
171-avg,149-range,22-range,142-avg
176-avg,151-range,27-range,148-avg
184-avg,154-range,39-range,149-avg
186-avg,156-range,61-range,150-avg
104-avg,192-range,62-range,153-avg
106-avg,29-slope,86-range,154-avg
109-avg,14-avg,93-range,156-avg
135-avg,19-avg,107-range,157-avg
153-avg,22-avg,109-range,159-avg
154-avg,23-avg,118-range,161-avg
156-avg,30-avg,120-range,164-avg
157-avg,34-avg,121-range,167-avg
159-avg,37-avg,127-range,168-avg
161-avg,45-avg,129-range,169-avg
178-avg,48-avg,156-range,170-avg
183-avg,51-avg,161-range,171-avg
188-avg,53-avg,188-range,172-avg
192-avg,54-avg,196-range,173-avg
4-std,59-avg,198-range,174-avg
5-std,67-avg,32-avg,176-avg
99-std,69-avg,43-avg,179-avg
4-range,70-avg,53-avg,181-avg
14-range,73-avg,58-avg,184-avg
9-slope,75-avg,65-avg,185-avg
89-avg,81-avg,77-avg,186-avg
164-avg,86-avg,95-avg,187-avg
170-avg,99-avg,111-avg,188-avg
196-avg,106-avg,113-avg,192-avg
7-std,109-avg,116-avg,193-avg
40-std,113-avg,125-avg,194-avg
71-std,119-avg,145-avg,195-avg
98-std,121-avg,148-avg,196-avg
171-std,125-avg,151-avg,198-avg
193-std,128-avg,152-avg,199-avg
9-range,129-avg,154-avg,0-std
12-range,132-avg,157-avg,1-std
21-range,137-avg,161-avg,3-std
33-range,148-avg,162-avg,4-std
61-range,150-avg,185-avg,5-std
70-range,152-avg,187-avg,6-std
71-range,159-avg,189-avg,7-std
86-range,162-avg,199-avg,8-std
89-range,164-avg,0-std,10-std
120-range,166-avg,3-std,11-std
129-range,170-avg,5-std,12-std
137-range,171-avg,6-std,13-std
145-range,176-avg,23-std,14-std
159-range,181-avg,26-std,15-std
172-range,187-avg,33-std,16-std
6-slope,188-avg,45-std,18-std
90-slope,189-avg,58-std,19-std
128-avg,195-avg,71-std,20-std
1-std,0-std,72-std,21-std
3-std,3-std,76-std,22-std
13-std,4-std,95-std,23-std
15-std,5-std,133-std,24-std
17-std,6-std,135-std,26-std
18-std,8-std,141-std,27-std
23-std,10-std,145-std,28-std
25-std,11-std,156-std,29-std
26-std,13-std,170-std,30-std
29-std,14-std,1-range,31-std
32-std,15-std,9-range,32-std
43-std,16-std,12-range,33-std
44-std,17-std,13-range,35-std
47-std,18-std,16-range,36-std
49-std,19-std,18-range,37-std
60-std,20-std,19-range,38-std
66-std,21-std,20-range,39-std
81-std,22-std,23-range,40-std
82-std,23-std,25-range,41-std
83-std,24-std,26-range,42-std
85-std,25-std,29-range,43-std
88-std,26-std,30-range,44-std
89-std,27-std,44-range,45-std
91-std,28-std,49-range,46-std
94-std,29-std,52-range,47-std
95-std,30-std,53-range,48-std
106-std,31-std,59-range,49-std
115-std,32-std,60-range,50-std
118-std,33-std,66-range,51-std
124-std,34-std,67-range,52-std
127-std,35-std,73-range,53-std
136-std,36-std,76-range,54-std
139-std,37-std,79-range,55-std
140-std,38-std,81-range,56-std
145-std,39-std,85-range,57-std
150-std,40-std,94-range,58-std
155-std,41-std,96-range,59-std
157-std,42-std,98-range,60-std
186-std,43-std,113-range,61-std
188-std,44-std,116-range,62-std
195-std,46-std,119-range,63-std
196-std,47-std,124-range,64-std
198-std,48-std,128-range,65-std
0-range,49-std,136-range,66-std
8-range,50-std,141-range,67-std
10-range,51-std,145-range,68-std
13-range,52-std,151-range,69-std
15-range,53-std,153-range,70-std
18-range,54-std,154-range,71-std
24-range,55-std,155-range,72-std
26-range,56-std,158-range,73-std
27-range,57-std,159-range,74-std
34-range,58-std,170-range,75-std
42-range,59-std,178-range,76-std
44-range,60-std,187-range,77-std
46-range,61-std,191-range,78-std
47-range,62-std,195-range,79-std
51-range,63-std,197-range,80-std
58-range,64-std,6-avg,81-std
60-range,65-std,68-avg,82-std
64-range,66-std,70-avg,83-std
72-range,67-std,75-avg,84-std
81-range,68-std,81-avg,85-std
90-range,69-std,100-avg,86-std
92-range,70-std,128-avg,87-std
93-range,71-std,132-avg,88-std
106-range,72-std,144-avg,89-std
108-range,73-std,156-avg,90-std
110-range,74-std,159-avg,91-std
115-range,75-std,167-avg,92-std
116-range,76-std,179-avg,93-std
119-range,77-std,183-avg,94-std
122-range,78-std,188-avg,95-std
128-range,79-std,196-avg,96-std
131-range,80-std,7-std,97-std
140-range,81-std,11-std,98-std
146-range,82-std,12-std,99-std
156-range,83-std,13-std,100-std
163-range,84-std,14-std,101-std
167-range,85-std,17-std,102-std
170-range,86-std,19-std,103-std
171-range,87-std,21-std,104-std
174-range,88-std,24-std,105-std
176-range,89-std,27-std,106-std
180-range,90-std,29-std,107-std
192-range,92-std,31-std,108-std
196-range,93-std,32-std,109-std
199-range,94-std,35-std,110-std
0-slope,95-std,36-std,111-std
2-slope,96-std,37-std,112-std
4-slope,97-std,38-std,113-std
7-slope,98-std,41-std,114-std
11-slope,99-std,42-std,115-std
14-slope,100-std,46-std,116-std
24-slope,101-std,48-std,117-std
25-slope,102-std,49-std,118-std
26-slope,103-std,54-std,119-std
29-slope,104-std,56-std,120-std
31-slope,105-std,63-std,121-std
32-slope,106-std,68-std,122-std
33-slope,107-std,69-std,123-std
39-slope,108-std,77-std,124-std
42-slope,109-std,78-std,125-std
50-slope,110-std,79-std,126-std
53-slope,111-std,81-std,127-std
65-slope,112-std,83-std,128-std
76-slope,113-std,84-std,129-std
82-slope,114-std,86-std,130-std
87-slope,115-std,97-std,131-std
92-slope,116-std,100-std,132-std
95-slope,117-std,103-std,133-std
106-slope,118-std,106-std,134-std
110-slope,119-std,108-std,136-std
115-slope,120-std,109-std,137-std
119-slope,121-std,110-std,138-std
136-slope,122-std,111-std,139-std
140-slope,123-std,114-std,140-std
141-slope,124-std,117-std,141-std
147-slope,125-std,122-std,142-std
168-slope,126-std,125-std,143-std
185-slope,127-std,126-std,144-std
193-slope,128-std,127-std,145-std
195-slope,129-std,131-std,146-std
166-avg,130-std,143-std,147-std
0-std,131-std,144-std,148-std
2-std,132-std,147-std,149-std
6-std,133-std,149-std,150-std
8-std,134-std,150-std,151-std
9-std,135-std,153-std,152-std
10-std,136-std,154-std,153-std
11-std,137-std,158-std,154-std
12-std,138-std,159-std,155-std
14-std,139-std,162-std,156-std
16-std,140-std,167-std,157-std
19-std,141-std,174-std,158-std
20-std,142-std,178-std,159-std
21-std,143-std,179-std,160-std
22-std,144-std,180-std,161-std
24-std,145-std,182-std,162-std
27-std,146-std,183-std,163-std
28-std,147-std,188-std,164-std
30-std,148-std,189-std,165-std
31-std,149-std,192-std,166-std
33-std,150-std,195-std,167-std
34-std,151-std,196-std,168-std
35-std,152-std,2-range,169-std
36-std,153-std,5-range,170-std
37-std,154-std,7-range,171-std
38-std,155-std,10-range,172-std
39-std,157-std,15-range,173-std
41-std,158-std,24-range,174-std
42-std,159-std,28-range,175-std
45-std,160-std,31-range,176-std
46-std,162-std,35-range,177-std
48-std,163-std,36-range,179-std
50-std,164-std,37-range,180-std
51-std,165-std,38-range,181-std
52-std,166-std,41-range,182-std
53-std,167-std,42-range,183-std
54-std,168-std,45-range,184-std
55-std,169-std,48-range,185-std
56-std,170-std,51-range,186-std
57-std,171-std,54-range,187-std
58-std,172-std,56-range,188-std
59-std,173-std,57-range,189-std
61-std,174-std,63-range,190-std
62-std,175-std,68-range,191-std
63-std,176-std,69-range,192-std
64-std,177-std,70-range,193-std
65-std,178-std,74-range,194-std
67-std,179-std,75-range,195-std
